id,loan_amnt,loan_amnt_band,term_months,int_rate,installment,grade,sub_grade,purpose,emp_length_years,home_ownership,annual_inc,income_band,verification_status,dti,addr_state,pub_rec,delinq_2yrs,revol_util,open_acc,total_acc,pub_rec_bankruptcies,issue_d,earliest_cr_line,loan_status,is_default
1077501,5000,<5k,36,10.65,162.87,B,B2,credit_card,10.0,RENT,24000.0,<40k,Verified,27.65,AZ,0,0,83.7,3,9,0,2011-12-01,1985-01-01,Fully Paid,0
1077430,2500,<5k,60,15.27,59.83,C,C4,car,0.0,RENT,30000.0,<40k,Source Verified,1.0,GA,0,0,9.4,3,4,0,2011-12-01,1999-04-01,Charged Off,1
1077175,2400,<5k,36,15.96,84.33,C,C5,small_business,10.0,RENT,12252.0,<40k,Not Verified,8.72,IL,0,0,98.5,2,10,0,2011-12-01,2001-11-01,Fully Paid,0
1076863,10000,5-10k,36,13.49,339.31,C,C1,other,10.0,RENT,49200.0,40-60k,Source Verified,20.0,CA,0,0,21.0,10,37,0,2011-12-01,1996-02-01,Fully Paid,0
1075269,5000,<5k,36,7.9,156.46,A,A4,wedding,3.0,RENT,36000.0,<40k,Source Verified,11.2,AZ,0,0,28.3,9,12,0,2011-12-01,2004-11-01,Fully Paid,0
1069639,7000,5-10k,60,15.96,170.08,C,C5,debt_consolidation,8.0,RENT,47004.0,40-60k,Not Verified,23.51,NC,0,0,85.6,7,11,0,2011-12-01,2005-07-01,Fully Paid,0
1072053,3000,<5k,36,18.64,109.43,E,E1,car,9.0,RENT,48000.0,40-60k,Source Verified,5.35,CA,0,0,87.5,4,4,0,2011-12-01,2007-01-01,Fully Paid,0
1071795,5600,5-10k,60,21.28,152.39,F,F2,small_business,4.0,OWN,40000.0,<40k,Source Verified,5.55,CA,0,0,32.6,11,13,0,2011-12-01,2004-04-01,Charged Off,1
1071570,5375,5-10k,60,12.69,121.45,B,B5,other,0.0,RENT,15000.0,<40k,Verified,18.08,TX,0,0,36.5,2,3,0,2011-12-01,2004-09-01,Charged Off,1
1070078,6500,5-10k,60,14.65,153.45,C,C3,debt_consolidation,5.0,OWN,72000.0,60-80k,Not Verified,16.12,AZ,0,0,20.6,14,23,0,2011-12-01,1998-01-01,Fully Paid,0
1069908,12000,10-15k,36,12.69,402.54,B,B5,debt_consolidation,10.0,OWN,75000.0,60-80k,Source Verified,10.78,CA,0,0,67.1,12,34,0,2011-12-01,1989-10-01,Fully Paid,0
1064687,9000,5-10k,36,13.49,305.38,C,C1,debt_consolidation,0.0,RENT,30000.0,<40k,Source Verified,10.08,VA,0,0,91.7,4,9,0,2011-12-01,2004-04-01,Charged Off,1
1069866,3000,<5k,36,9.91,96.68,B,B1,credit_card,3.0,RENT,15000.0,<40k,Source Verified,12.56,IL,0,0,43.1,11,11,0,2011-12-01,2003-07-01,Fully Paid,0
1069057,10000,5-10k,36,10.65,325.74,B,B2,other,3.0,RENT,100000.0,80-100k,Source Verified,7.06,CA,0,0,55.5,14,29,0,2011-12-01,1991-05-01,Charged Off,1
1069759,1000,<5k,36,16.29,35.31,D,D1,debt_consolidation,0.0,RENT,28000.0,<40k,Not Verified,20.31,MO,0,0,81.5,11,23,0,2011-12-01,2007-09-01,Fully Paid,0
1065775,10000,5-10k,36,15.27,347.98,C,C4,home_improvement,4.0,RENT,42000.0,40-60k,Not Verified,18.6,CA,0,0,70.2,14,28,0,2011-12-01,1998-10-01,Fully Paid,0
1069971,3600,<5k,36,6.03,109.57,A,A1,major_purchase,10.0,MORTGAGE,110000.0,100k+,Not Verified,10.52,CT,0,0,16.0,20,42,0,2011-12-01,1993-08-01,Fully Paid,0
1062474,6000,5-10k,36,11.71,198.46,B,B3,medical,1.0,MORTGAGE,84000.0,80-100k,Verified,18.44,UT,0,2,37.73,4,14,0,2011-12-01,2003-10-01,Fully Paid,0
1069742,9200,5-10k,36,6.03,280.01,A,A1,debt_consolidation,6.0,RENT,77385.19,60-80k,Not Verified,9.86,CA,0,0,23.1,8,28,0,2011-12-01,2001-01-01,Fully Paid,0
1069740,20250,20k+,60,15.27,484.63,C,C4,debt_consolidation,3.0,RENT,43370.0,40-60k,Verified,26.53,TX,0,0,85.6,8,22,0,2011-12-01,1997-11-01,Fully Paid,0
1039153,21000,20k+,36,12.42,701.73,B,B4,debt_consolidation,10.0,RENT,105000.0,100k+,Verified,13.22,FL,0,0,90.3,7,38,0,2011-12-01,1983-02-01,Charged Off,1
1069710,10000,5-10k,36,11.71,330.76,B,B3,credit_card,10.0,OWN,50000.0,40-60k,Source Verified,11.18,TX,0,0,82.4,8,21,0,2011-12-01,1985-07-01,Fully Paid,0
1069700,10000,5-10k,36,11.71,330.76,B,B3,debt_consolidation,5.0,RENT,50000.0,40-60k,Not Verified,16.01,CA,0,0,91.8,6,17,0,2011-12-01,2003-04-01,Fully Paid,0
1069559,6000,5-10k,36,11.71,198.46,B,B3,major_purchase,1.0,RENT,76000.0,60-80k,Not Verified,2.4,CA,0,0,29.7,7,7,0,2011-12-01,2001-06-01,Charged Off,1
1069697,15000,10-15k,36,9.91,483.38,B,B1,credit_card,2.0,MORTGAGE,92000.0,80-100k,Verified,29.44,IL,0,0,93.9,8,31,0,2011-12-01,2002-02-01,Fully Paid,0
1069800,15000,10-15k,36,14.27,514.64,C,C2,debt_consolidation,9.0,RENT,60000.0,40-60k,Not Verified,15.22,NY,0,0,57.6,7,11,0,2011-12-01,2003-10-01,Charged Off,1
1069657,5000,<5k,60,16.77,123.65,D,D2,other,2.0,RENT,50004.0,40-60k,Not Verified,13.97,PA,0,3,59.5,14,22,0,2011-12-01,2003-10-01,Charged Off,1
1069799,4000,<5k,36,11.71,132.31,B,B3,debt_consolidation,10.0,MORTGAGE,106000.0,100k+,Not Verified,5.63,FL,0,1,37.7,12,44,0,2011-12-01,1984-08-01,Fully Paid,0
